REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2026/05/01 06:50:00,7767.52,76.99,TRADE
NSW1,2026/05/01 06:55:00,7923.3,84.81,TRADE
NSW1,2026/05/01 07:00:00,7794.02,76.99,TRADE
NSW1,2026/05/01 07:05:00,7852.18,79,TRADE
NSW1,2026/05/01 07:10:00,7925.6,76.99,TRADE
NSW1,2026/05/01 07:15:00,7965.5,77.17,TRADE
NSW1,2026/05/01 07:20:00,7977.29,76.63,TRADE
NSW1,2026/05/01 07:25:00,7987.78,58.38,TRADE
NSW1,2026/05/01 07:30:00,7970.26,58.87,TRADE
NSW1,2026/05/01 07:35:00,7874.4,23.89,TRADE
NSW1,2026/05/01 07:40:00,7991.58,26.74,TRADE
NSW1,2026/05/01 07:45:00,7821.78,24.29,TRADE
NSW1,2026/05/01 07:50:00,7841.79,35.88,TRADE
NSW1,2026/05/01 07:55:00,7778.58,57.51,TRADE
NSW1,2026/05/01 08:00:00,7806.02,40.54,TRADE
NSW1,2026/05/01 08:05:00,7689.44,23.89,TRADE
NSW1,2026/05/01 08:10:00,7762.37,37.89,TRADE
NSW1,2026/05/01 08:15:00,7704.75,40.54,TRADE
NSW1,2026/05/01 08:20:00,7536.74,40.49,TRADE
