"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/10/2026 00:15:00","CENTRL",61754,26.21,-0.32,0.00
"05/10/2026 00:15:00","DUNWOD",61760,28.33,1.80,0.00
"05/10/2026 00:15:00","GENESE",61753,25.58,-0.95,0.00
"05/10/2026 00:15:00","H Q",61844,26.40,-0.13,0.00
"05/10/2026 00:15:00","HUD VL",61758,28.12,1.59,0.00
"05/10/2026 00:15:00","LONGIL",61762,66.89,2.07,-38.29
"05/10/2026 00:15:00","MHK VL",61756,26.95,0.42,0.00
"05/10/2026 00:15:00","MILLWD",61759,28.20,1.67,0.00
"05/10/2026 00:15:00","N.Y.C.",61761,28.44,1.91,0.00
"05/10/2026 00:15:00","NORTH",61755,26.24,-0.29,0.00
"05/10/2026 00:15:00","NPX",61845,27.59,1.06,0.00
"05/10/2026 00:15:00","O H",61846,24.83,-1.70,0.00
"05/10/2026 00:15:00","PJM",61847,26.56,0.03,0.00
"05/10/2026 00:15:00","WEST",61752,25.02,-1.51,0.00
"05/10/2026 00:20:00","CAPITL",61757,32.57,1.22,0.00
"05/10/2026 00:20:00","CENTRL",61754,31.04,-0.31,0.00
"05/10/2026 00:20:00","DUNWOD",61760,33.42,2.07,0.00
"05/10/2026 00:20:00","GENESE",61753,30.38,-0.97,0.00
"05/10/2026 00:20:00","H Q",61844,31.20,-0.16,0.00
"05/10/2026 00:20:00","HUD VL",61758,33.17,1.82,0.00
"05/10/2026 00:20:00","LONGIL",61762,65.78,2.35,-32.07
"05/10/2026 00:20:00","MHK VL",61756,31.85,0.50,0.00
"05/10/2026 00:20:00","MILLWD",61759,33.27,1.91,0.00
"05/10/2026 00:20:00","N.Y.C.",61761,33.51,2.16,0.00
"05/10/2026 00:20:00","NORTH",61755,31.01,-0.34,0.00
"05/10/2026 00:20:00","NPX",61845,32.61,1.26,0.00
"05/10/2026 00:20:00","O H",61846,29.57,-1.79,0.00
"05/10/2026 00:20:00","PJM",61847,31.45,0.09,0.00
"05/10/2026 00:20:00","WEST",61752,29.82,-1.54,0.00
"05/10/2026 00:25:00","CAPITL",61757,27.64,1.01,0.00
"05/10/2026 00:25:00","CENTRL",61754,26.36,-0.27,0.00
"05/10/2026 00:25:00","DUNWOD",61760,28.39,1.76,0.00
"05/10/2026 00:25:00","GENESE",61753,25.83,-0.80,0.00
"05/10/2026 00:25:00","H Q",61844,26.50,-0.13,0.00
"05/10/2026 00:25:00","HUD VL",61758,28.15,1.52,0.00
"05/10/2026 00:25:00","LONGIL",61762,66.94,2.02,-38.29
"05/10/2026 00:25:00","MHK VL",61756,27.00,0.37,0.00
"05/10/2026 00:25:00","MILLWD",61759,28.25,1.62,0.00
"05/10/2026 00:25:00","N.Y.C.",61761,28.44,1.81,0.00
"05/10/2026 00:25:00","NORTH",61755,26.34,-0.29,0.00
"05/10/2026 00:25:00","NPX",61845,27.67,1.04,0.00
"05/10/2026 00:25:00","O H",61846,25.16,-1.46,0.00
"05/10/2026 00:25:00","PJM",61847,26.71,0.08,0.00
"05/10/2026 00:25:00","WEST",61752,25.38,-1.25,0.00
"05/10/2026 00:30:00","CAPITL",61757,32.70,1.20,0.00
"05/10/2026 00:30:00","CENTRL",61754,31.28,-0.22,0.00
"05/10/2026 00:30:00","DUNWOD",61760,33.55,2.05,0.00
"05/10/2026 00:30:00","GENESE",61753,30.65,-0.85,0.00
"05/10/2026 00:30:00","H Q",61844,31.34,-0.16,0.00
"05/10/2026 00:30:00","HUD VL",61758,33.26,1.76,0.00
"05/10/2026 00:30:00","LONGIL",61762,45.02,2.36,-11.15
"05/10/2026 00:30:00","MHK VL",61756,32.00,0.50,0.00
"05/10/2026 00:30:00","MILLWD",61759,33.39,1.89,0.00
"05/10/2026 00:30:00","N.Y.C.",61761,33.58,2.08,0.00
"05/10/2026 00:30:00","NORTH",61755,31.15,-0.35,0.00
"05/10/2026 00:30:00","NPX",61845,32.73,1.23,0.00
"05/10/2026 00:30:00","O H",61846,29.93,-1.57,0.00
"05/10/2026 00:30:00","PJM",61847,31.69,0.19,0.00
"05/10/2026 00:30:00","WEST",61752,30.24,-1.26,0.00
"05/10/2026 00:35:00","CAPITL",61757,33.34,1.22,0.00
"05/10/2026 00:35:00","CENTRL",61754,31.83,-0.29,0.00
"05/10/2026 00:35:00","DUNWOD",61760,34.28,2.15,0.00
"05/10/2026 00:35:00","GENESE",61753,31.13,-1.00,0.00
"05/10/2026 00:35:00","H Q",61844,31.96,-0.16,0.00
"05/10/2026 00:35:00","HUD VL",61758,33.99,1.86,0.00
"05/10/2026 00:35:00","LONGIL",61762,44.05,2.51,-9.42
"05/10/2026 00:35:00","MHK VL",61756,32.67,0.55,0.00
"05/10/2026 00:35:00","MILLWD",61759,34.12,1.99,0.00
"05/10/2026 00:35:00","N.Y.C.",61761,34.28,2.15,0.00
