Time,Hour ahead forecast,Current demand,Net demand,Net demand forecast,Demand response
16:25,30646,,,7586,
16:30,30646,,,7586,
16:35,31180,,,7586,
16:40,31180,,,7586,
16:45,31180,,,7586,
16:50,31738,,,7586,
16:55,31738,,,7586,
17:00,31738,,,7586,
17:05,32141,,,11198,
17:10,32141,,,11198,
17:15,32141,,,11198,
17:20,32701,,,11198,
17:25,32701,,,11198,
17:30,32701,,,11198,
17:35,33271,,,11198,
17:40,33271,,,11198,
17:45,33271,,,11198,
17:50,33708,,,11198,
17:55,33708,,,11198,
18:00,33708,,,11198,
18:05,34095,,,18664,
18:10,34095,,,18664,
18:15,34095,,,18664,
18:20,34499,,,18664,
18:25,34499,,,18664,
18:30,34499,,,18664,
18:35,34906,,,18664,
18:40,34906,,,18664,
18:45,34906,,,18664,
18:50,34949,,,18664,
18:55,34949,,,18664,
19:00,34949,,,18664,
19:05,34969,,,27077,
19:10,34969,,,27077,
19:15,34969,,,27077,
19:20,34966,,,27077,
19:25,34966,,,27077,
19:30,34966,,,27077,
19:35,34949,,,27077,
19:40,34949,,,27077,
19:45,34949,,,27077,
19:50,34759,,,27077,
19:55,34759,,,27077,
20:00,34759,,,27077,
20:05,34578,,,28837,
20:10,34578,,,28837,
20:15,34578,,,28837,
20:20,34403,,,28837,
20:25,34403,,,28837,
20:30,34403,,,28837,
20:35,34242,,,28837,
20:40,34242,,,28837,
20:45,34242,,,28837,
20:50,34057,,,28837,
20:55,34057,,,28837,
21:00,34057,,,28837,
21:05,33873,,,27983,
21:10,33873,,,27983,
21:15,33873,,,27983,
21:20,33651,,,27983,
21:25,33651,,,27983,
21:30,33651,,,27983,
21:35,33388,,,27983,
21:40,33388,,,27983,
21:45,33388,,,27983,
21:50,32793,,,27983,
21:55,32793,,,27983,
22:00,32793,,,27983,
22:05,32204,,,25600,
22:10,32204,,,25600,
22:15,32204,,,25600,
22:20,31597,,,25600,
22:25,31597,,,25600,
22:30,31597,,,25600,
22:35,30980,,,25600,
22:40,30980,,,25600,
22:45,30980,,,25600,
22:50,30369,,,25600,
22:55,30369,,,25600,
23:00,30369,,,25600,
23:05,29773,,,23222,
23:10,29773,,,23222,
23:15,29773,,,23222,
23:20,29183,,,23222,
23:25,29183,,,23222,
23:30,29183,,,23222,
23:35,28605,,,23222,
23:40,28605,,,23222,
23:45,28605,,,23222,
23:50,28208,,,23222,
23:55,28208,,,23222,
00:00,28208,,,23222,
