area_name,start,finsh,stage,source
city-power-16,2025-05-14T20:00:00+02:00,2025-05-14T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-2,2025-05-13T16:00:00+02:00,2025-05-13T16:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-2,2025-05-15T16:00:00+02:00,2025-05-15T16:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-3,2025-05-15T16:00:00+02:00,2025-05-15T16:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-5,2025-05-13T18:00:00+02:00,2025-05-13T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-6,2025-05-13T18:00:00+02:00,2025-05-13T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-6,2025-05-14T16:00:00+02:00,2025-05-14T18:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-6,2025-05-15T18:00:00+02:00,2025-05-15T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-7,2025-05-13T20:00:00+02:00,2025-05-13T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-7,2025-05-14T16:00:00+02:00,2025-05-14T18:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-7,2025-05-15T18:00:00+02:00,2025-05-15T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-8,2025-05-13T20:00:00+02:00,2025-05-13T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-8,2025-05-15T20:00:00+02:00,2025-05-15T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
city-power-9,2025-05-15T20:00:00+02:00,2025-05-15T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-adelaide,2025-05-13T19:00:00+02:00,2025-05-13T21:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-arbedeen,2025-05-15T19:00:00+02:00,2025-05-15T21:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-barklyeast,2025-05-15T19:00:00+02:00,2025-05-15T21:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-bathurst,2025-05-14T17:00:00+02:00,2025-05-14T19:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-bathurst,2025-05-15T17:00:00+02:00,2025-05-15T19:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-bedford,2025-05-13T19:00:00+02:00,2025-05-13T21:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-burgersdorp,2025-05-13T16:00:00+02:00,2025-05-13T16:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-butterworth,2025-05-14T17:00:00+02:00,2025-05-14T19:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-butterworth,2025-05-15T17:00:00+02:00,2025-05-15T19:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-capestfrancisbay,2025-05-14T20:00:00+02:00,2025-05-14T22:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-capestfrancisbay,2025-05-15T20:00:00+02:00,2025-05-15T22:00:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-cathcart,2025-05-13T19:00:00+02:00,2025-05-13T21:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-cradock,2025-05-13T18:00:00+02:00,2025-05-13T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-cradock,2025-05-14T18:00:00+02:00,2025-05-14T20:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-dordrecht,2025-05-15T19:00:00+02:00,2025-05-15T21:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-dutywa,2025-05-14T17:00:00+02:00,2025-05-14T19:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
eastern-cape-dutywa,2025-05-15T17:00:00+02:00,2025-05-15T19:30:00+02:00,2,"https://x.com/Eskom_SA/status/1922243929254052017"
