date	daily_prior	mon_prior	daily_current	mon_current	record_max	record_mean	record_min
02-16	183.183	183.140	183.174	183.200	183.640	183.270	182.760
02-17	183.166	183.140	183.171	183.200	183.640	183.270	182.760
02-18	183.160	183.140	183.170	183.200	183.640	183.270	182.760
02-19	183.154	183.140	183.186	183.200	183.640	183.270	182.760
02-20	183.143	183.140	183.228	183.200	183.640	183.270	182.760
02-21	183.105	183.140	183.236	183.200	183.640	183.270	182.760
02-22	183.096	183.140	183.270	183.200	183.640	183.270	182.760
02-23	183.093	183.140	183.244	183.200	183.640	183.270	182.760
02-24	183.093	183.140	183.166	183.200	183.640	183.270	182.760
02-25	183.118	183.140	183.204	183.200	183.640	183.270	182.760
02-26	183.105	183.140	183.192	183.200	183.640	183.270	182.760
02-27	183.114	183.140	183.194	183.200	183.640	183.270	182.760
02-28	183.130	183.140	183.229	183.200	183.640	183.270	182.760
03-01	183.168	183.117	183.200	183.173	183.610	183.240	182.740
03-02	183.114	183.117	183.158	183.173	183.610	183.240	182.740
03-03	183.090	183.117	183.172	183.173	183.610	183.240	182.740
03-04	183.107	183.117	183.179	183.173	183.610	183.240	182.740
03-05	183.186	183.117	183.190	183.173	183.610	183.240	182.740
03-06	183.160	183.117	183.168	183.173	183.610	183.240	182.740
03-07	183.129	183.117	183.185	183.173	183.610	183.240	182.740
03-08	183.102	183.117	183.157	183.173	183.610	183.240	182.740
03-09	183.101	183.117	183.180	183.173	183.610	183.240	182.740
03-10	183.108	183.117	183.194	183.173	183.610	183.240	182.740
03-11	183.128	183.117	183.220	183.173	183.610	183.240	182.740
03-12	183.096	183.117	183.198	183.173	183.610	183.240	182.740
03-13	183.095	183.117	183.210	183.173	183.610	183.240	182.740
03-14	183.082	183.117	183.180	183.173	183.610	183.240	182.740
03-15	183.102	183.117	183.213	183.173	183.610	183.240	182.740
03-16	183.136	183.117	183.289	183.173	183.610	183.240	182.740
03-17	183.093	183.117	183.276	183.173	183.610	183.240	182.740
03-18	183.111	183.117	183.217	183.173	183.610	183.240	182.740
03-19	183.130	183.117	183.191	183.173	183.610	183.240	182.740
03-20	183.134	183.117	183.180	183.173	183.610	183.240	182.740
03-21	183.097	183.117	183.177	183.173	183.610	183.240	182.740
03-22	183.115	183.117	183.186	183.173	183.610	183.240	182.740
03-23	183.072	183.117	183.189	183.173	183.610	183.240	182.740
03-24	183.123	183.117	183.184	183.173	183.610	183.240	182.740
03-25	183.131	183.117	183.151	183.173	183.610	183.240	182.740
03-26	183.100	183.117	     NA	183.173	183.610	183.240	182.740
03-27	183.099	183.117	     NA	183.173	183.610	183.240	182.740
03-28	183.107	183.117	182.903	183.173	183.610	183.240	182.740
03-29	183.116	183.117	183.002	183.173	183.610	183.240	182.740
03-30	183.141	183.117	183.084	183.173	183.610	183.240	182.740
03-31	183.140	183.156	183.180	183.245	183.680	183.270	182.720
04-01	183.101	183.156	183.135	183.245	183.680	183.270	182.720
04-02	183.089	183.156	183.187	183.245	183.680	183.270	182.720
04-03	183.113	183.156	183.208	183.245	183.680	183.270	182.720
04-04	183.124	183.156	183.198	183.245	183.680	183.270	182.720
04-05	183.133	183.156	183.212	183.245	183.680	183.270	182.720
04-06	183.126	183.156	183.231	183.245	183.680	183.270	182.720
04-07	183.162	183.156	183.198	183.245	183.680	183.270	182.720
04-08	183.140	183.156	183.172	183.245	183.680	183.270	182.720
04-09	183.117	183.156	183.201	183.245	183.680	183.270	182.720
04-10	183.111	183.156	183.203	183.245	183.680	183.270	182.720
04-11	     NA	183.156	183.207	183.245	183.680	183.270	182.720
04-12	     NA	183.156	183.195	183.245	183.680	183.270	182.720
04-13	183.107	183.156	183.219	183.245	183.680	183.270	182.720
04-14	183.110	183.156	183.232	183.245	183.680	183.270	182.720
04-15	183.131	183.156	183.230	183.245	183.680	183.270	182.720
04-16	183.138	183.156	183.231	183.245	183.680	183.270	182.720
04-17	183.122	183.156	183.212	183.245	183.680	183.270	182.720
04-18	183.148	183.156	183.265	183.245	183.680	183.270	182.720
04-19	183.153	183.156	183.280	183.245	183.680	183.270	182.720
04-20	183.153	183.156	183.257	183.245	183.680	183.270	182.720
04-21	183.185	183.156	183.261	183.245	183.680	183.270	182.720
04-22	183.180	183.156	183.265	183.245	183.680	183.270	182.720
04-23	183.188	183.156	183.270	183.245	183.680	183.270	182.720
04-24	183.197	183.156	183.289	183.245	183.680	183.270	182.720
04-25	183.209	183.156	183.300	183.245	183.680	183.270	182.720
04-26	183.207	183.156	183.317	183.245	183.680	183.270	182.720
04-27	183.197	183.156	183.314	183.245	183.680	183.270	182.720
04-28	183.198	183.156	183.347	183.245	183.680	183.270	182.720
04-29	183.273	183.156	183.359	183.245	183.680	183.270	182.720
04-30	183.252	183.156	183.367	183.245	183.680	183.270	182.720
05-01	183.255	183.303	183.368	183.414	183.770	183.370	182.760
05-02	183.273	183.303	183.363	183.414	183.770	183.370	182.760
05-03	183.274	183.303	183.368	183.414	183.770	183.370	182.760
05-04	183.276	183.303	183.377	183.414	183.770	183.370	182.760
05-05	183.277	183.303	183.387	183.414	183.770	183.370	182.760
05-06	183.283	183.303	183.385	183.414	183.770	183.370	182.760
05-07	183.297	183.303	183.384	183.414	183.770	183.370	182.760
05-08	183.290	183.303	183.385	183.414	183.770	183.370	182.760
05-09	183.285	183.303	183.400	183.414	183.770	183.370	182.760
05-10	183.289	183.303	183.396	183.414	183.770	183.370	182.760
05-11	183.274	183.303	183.387	183.414	183.770	183.370	182.760
05-12	183.286	183.303	183.388	183.414	183.770	183.370	182.760
05-13	183.281	183.303	183.419	183.414	183.770	183.370	182.760
05-14	183.290	183.303	183.395	183.414	183.770	183.370	182.760
05-15	183.292	183.303	183.394	183.414	183.770	183.370	182.760
05-16	183.301	183.303	183.407	183.414	183.770	183.370	182.760
05-17	183.332	183.303	183.413	183.414	183.770	183.370	182.760
05-18	183.346	183.303	183.436	183.414	183.770	183.370	182.760
05-19	183.334	183.303	183.444	183.414	183.770	183.370	182.760
05-20	183.321	183.303	183.438	183.414	183.770	183.370	182.760
05-21	183.331	183.303	183.436	183.414	183.770	183.370	182.760
05-22	183.332	183.303	183.438	183.414	183.770	183.370	182.760
05-23	183.329	183.303	183.438	183.414	183.770	183.370	182.760
05-24	183.322	183.303	183.445	183.414	183.770	183.370	182.760
05-25	183.320	183.303	183.451	183.414	183.770	183.370	182.760
05-26	183.316	183.303	183.446	183.414	183.770	183.370	182.760
05-27	183.320	183.303	183.457	183.414	183.770	183.370	182.760
05-28	183.317	183.303	183.447	183.414	183.770	183.370	182.760
05-29	183.316	183.303	183.448	183.414	183.770	183.370	182.760
05-30	183.324	183.303	183.448	183.414	183.770	183.370	182.760
05-31	183.322	183.303	183.447	183.414	183.770	183.370	182.760
06-01	183.315	183.347	183.451	183.469	183.840	183.450	182.850
06-02	183.309	183.347	183.441	183.469	183.840	183.450	182.850
06-03	183.331	183.347	183.450	183.469	183.840	183.450	182.850
06-04	183.327	183.347	183.445	183.469	183.840	183.450	182.850
06-05	183.330	183.347	183.452	183.469	183.840	183.450	182.850
06-06	183.327	183.347	183.453	183.469	183.840	183.450	182.850
06-07	183.323	183.347	183.452	183.469	183.840	183.450	182.850
06-08	183.320	183.347	183.451	183.469	183.840	183.450	182.850
06-09	183.339	183.347	183.462	183.469	183.840	183.450	182.850
06-10	183.335	183.347	183.455	183.469	183.840	183.450	182.850
06-11	183.338	183.347	183.468	183.469	183.840	183.450	182.850
06-12	183.328	183.347	183.459	183.469	183.840	183.450	182.850
06-13	183.336	183.347	183.474	183.469	183.840	183.450	182.850
06-14	183.330	183.347	183.481	183.469	183.840	183.450	182.850
06-15	183.327	183.347	183.478	183.469	183.840	183.450	182.850
06-16	183.325	183.347	183.483	183.469	183.840	183.450	182.850
06-17	183.345	183.347	183.481	183.469	183.840	183.450	182.850
06-18	183.343	183.347	183.489	183.469	183.840	183.450	182.850
06-19	183.347	183.347	183.486	183.469	183.840	183.450	182.850
06-20	183.344	183.347	183.485	183.469	183.840	183.450	182.850
06-21	183.358	183.347	183.484	183.469	183.840	183.450	182.850
06-22	183.362	183.347	183.484	183.469	183.840	183.450	182.850
06-23	183.376	183.347	183.476	183.469	183.840	183.450	182.850
06-24	183.372	183.347	183.479	183.469	183.840	183.450	182.850
06-25	183.371	183.347	183.482	183.469	183.840	183.450	182.850
06-26	183.368	183.347	183.473	183.469	183.840	183.450	182.850
06-27	183.396	183.347	183.473	183.469	183.840	183.450	182.850
06-28	183.394	183.347	183.472	183.469	183.840	183.450	182.850
06-29	183.393	183.347	183.464	183.469	183.840	183.450	182.850
06-30	183.390	183.347	183.477	183.469	183.840	183.450	182.850
07-01	183.401	183.455	183.488	183.495	183.860	183.520	182.960
07-02	183.401	183.455	183.493	183.495	183.860	183.520	182.960
07-03	183.398	183.455	183.494	183.495	183.860	183.520	182.960
07-04	183.397	183.455	183.499	183.495	183.860	183.520	182.960
07-05	183.405	183.455	183.502	183.495	183.860	183.520	182.960
07-06	183.426	183.455	     NA	183.495	183.860	183.520	182.960
07-07	183.422	183.455	     NA	183.495	183.860	183.520	182.960
07-08	183.424	183.455	     NA	183.495	183.860	183.520	182.960
07-09	183.421	183.455	     NA	183.495	183.860	183.520	182.960
07-10	183.419	183.455	     NA	183.495	183.860	183.520	182.960
07-11	183.416	183.455	     NA	183.495	183.860	183.520	182.960
07-12	183.419	183.455	     NA	183.495	183.860	183.520	182.960
07-13	183.417	183.455	     NA	183.495	183.860	183.520	182.960
07-14	183.435	183.455	     NA	183.495	183.860	183.520	182.960
07-15	183.447	183.455	     NA	183.495	183.860	183.520	182.960
07-16	183.503	183.455	     NA	183.495	183.860	183.520	182.960
07-17	183.484	183.455	     NA	183.495	183.860	183.520	182.960
07-18	183.469	183.455	     NA	183.495	183.860	183.520	182.960
07-19	183.469	183.455	     NA	183.495	183.860	183.520	182.960
07-20	183.469	183.455	     NA	183.495	183.860	183.520	182.960
07-21	183.465	183.455	     NA	183.495	183.860	183.520	182.960
07-22	183.456	183.455	     NA	183.495	183.860	183.520	182.960
07-23	183.468	183.455	     NA	183.495	183.860	183.520	182.960
07-24	183.504	183.455	     NA	183.495	183.860	183.520	182.960
07-25	183.501	183.455	     NA	183.495	183.860	183.520	182.960
07-26	183.495	183.455	     NA	183.495	183.860	183.520	182.960
07-27	183.504	183.455	     NA	183.495	183.860	183.520	182.960
07-28	183.515	183.455	     NA	183.495	183.860	183.520	182.960
07-29	183.520	183.455	     NA	183.495	183.860	183.520	182.960
07-30	183.517	183.455	     NA	183.495	183.860	183.520	182.960
07-31	183.519	183.455	     NA	183.495	183.860	183.520	182.960
08-01	183.505	183.520	     NA	     NA	183.860	183.540	183.010
08-02	183.507	183.520	     NA	     NA	183.860	183.540	183.010
08-03	183.512	183.520	     NA	     NA	183.860	183.540	183.010
08-04	183.515	183.520	     NA	     NA	183.860	183.540	183.010
08-05	183.510	183.520	     NA	     NA	183.860	183.540	183.010
08-06	183.500	183.520	     NA	     NA	183.860	183.540	183.010
08-07	183.498	183.520	     NA	     NA	183.860	183.540	183.010
08-08	183.497	183.520	     NA	     NA	183.860	183.540	183.010
08-09	183.508	183.520	     NA	     NA	183.860	183.540	183.010
08-10	183.511	183.520	     NA	     NA	183.860	183.540	183.010
08-11	183.527	183.520	     NA	     NA	183.860	183.540	183.010
08-12	183.532	183.520	     NA	     NA	183.860	183.540	183.010
08-13	183.542	183.520	     NA	     NA	183.860	183.540	183.010
08-14	183.531	183.520	     NA	     NA	183.860	183.540	183.010
08-15	183.512	183.520	     NA	     NA	183.860	183.540	183.010
08-16	183.537	183.520	     NA	     NA	183.860	183.540	183.010
08-17	183.550	183.520	     NA	     NA	183.860	183.540	183.010
08-18	183.506	183.520	     NA	     NA	183.860	183.540	183.010
08-19	183.513	183.520	     NA	     NA	183.860	183.540	183.010
08-20	183.522	183.520	     NA	     NA	183.860	183.540	183.010
08-21	183.516	183.520	     NA	     NA	183.860	183.540	183.010
08-22	183.510	183.520	     NA	     NA	183.860	183.540	183.010
08-23	183.536	183.520	     NA	     NA	183.860	183.540	183.010
08-24	183.559	183.520	     NA	     NA	183.860	183.540	183.010
08-25	183.562	183.520	     NA	     NA	183.860	183.540	183.010
08-26	183.536	183.520	     NA	     NA	183.860	183.540	183.010
08-27	183.515	183.520	     NA	     NA	183.860	183.540	183.010
08-28	183.540	183.520	     NA	     NA	183.860	183.540	183.010
08-29	183.521	183.520	     NA	     NA	183.860	183.540	183.010
08-30	183.501	183.520	     NA	     NA	183.860	183.540	183.010
08-31	183.500	183.521	     NA	     NA	183.860	183.540	183.020
09-01	183.498	183.521	     NA	     NA	183.860	183.540	183.020
09-02	183.494	183.521	     NA	     NA	183.860	183.540	183.020
09-03	183.535	183.521	     NA	     NA	183.860	183.540	183.020
09-04	183.523	183.521	     NA	     NA	183.860	183.540	183.020
09-05	183.533	183.521	     NA	     NA	183.860	183.540	183.020
09-06	183.539	183.521	     NA	     NA	183.860	183.540	183.020
09-07	183.533	183.521	     NA	     NA	183.860	183.540	183.020
09-08	183.502	183.521	     NA	     NA	183.860	183.540	183.020
09-09	183.513	183.521	     NA	     NA	183.860	183.540	183.020
09-10	183.539	183.521	     NA	     NA	183.860	183.540	183.020
09-11	183.540	183.521	     NA	     NA	183.860	183.540	183.020
09-12	183.530	183.521	     NA	     NA	183.860	183.540	183.020
09-13	183.531	183.521	     NA	     NA	183.860	183.540	183.020
09-14	183.532	183.521	     NA	     NA	183.860	183.540	183.020
09-15	183.520	183.521	     NA	     NA	183.860	183.540	183.020
09-16	183.512	183.521	     NA	     NA	183.860	183.540	183.020
09-17	183.525	183.521	     NA	     NA	183.860	183.540	183.020
09-18	183.532	183.521	     NA	     NA	183.860	183.540	183.020
09-19	183.524	183.521	     NA	     NA	183.860	183.540	183.020
09-20	183.506	183.521	     NA	     NA	183.860	183.540	183.020
09-21	183.505	183.521	     NA	     NA	183.860	183.540	183.020
09-22	183.521	183.521	     NA	     NA	183.860	183.540	183.020
09-23	183.538	183.521	     NA	     NA	183.860	183.540	183.020
09-24	183.536	183.521	     NA	     NA	183.860	183.540	183.020
09-25	183.519	183.521	     NA	     NA	183.860	183.540	183.020
09-26	183.520	183.521	     NA	     NA	183.860	183.540	183.020
09-27	183.505	183.521	     NA	     NA	183.860	183.540	183.020
09-28	183.502	183.521	     NA	     NA	183.860	183.540	183.020
09-29	183.507	183.521	     NA	     NA	183.860	183.540	183.020
09-30	183.510	183.521	     NA	     NA	183.860	183.540	183.020
10-01	183.486	183.470	     NA	     NA	183.910	183.520	183.100
10-02	183.471	183.470	     NA	     NA	183.910	183.520	183.100
10-03	183.492	183.470	     NA	     NA	183.910	183.520	183.100
10-04	183.475	183.470	     NA	     NA	183.910	183.520	183.100
10-05	183.462	183.470	     NA	     NA	183.910	183.520	183.100
10-06	183.497	183.470	     NA	     NA	183.910	183.520	183.100
10-07	183.507	183.470	     NA	     NA	183.910	183.520	183.100
10-08	183.494	183.470	     NA	     NA	183.910	183.520	183.100
10-09	183.454	183.470	     NA	     NA	183.910	183.520	183.100
10-10	183.474	183.470	     NA	     NA	183.910	183.520	183.100
10-11	183.489	183.470	     NA	     NA	183.910	183.520	183.100
10-12	183.449	183.470	     NA	     NA	183.910	183.520	183.100
10-13	183.458	183.470	     NA	     NA	183.910	183.520	183.100
10-14	183.474	183.470	     NA	     NA	183.910	183.520	183.100
10-15	183.474	183.470	     NA	     NA	183.910	183.520	183.100
10-16	183.445	183.470	     NA	     NA	183.910	183.520	183.100
10-17	183.442	183.470	     NA	     NA	183.910	183.520	183.100
10-18	183.473	183.470	     NA	     NA	183.910	183.520	183.100
10-19	183.492	183.470	     NA	     NA	183.910	183.520	183.100
10-20	183.463	183.470	     NA	     NA	183.910	183.520	183.100
10-21	183.470	183.470	     NA	     NA	183.910	183.520	183.100
10-22	183.523	183.470	     NA	     NA	183.910	183.520	183.100
10-23	183.513	183.470	     NA	     NA	183.910	183.520	183.100
10-24	183.478	183.470	     NA	     NA	183.910	183.520	183.100
10-25	183.452	183.470	     NA	     NA	183.910	183.520	183.100
10-26	183.446	183.470	     NA	     NA	183.910	183.520	183.100
10-27	183.442	183.470	     NA	     NA	183.910	183.520	183.100
10-28	183.437	183.470	     NA	     NA	183.910	183.520	183.100
10-29	183.440	183.470	     NA	     NA	183.910	183.520	183.100
10-30	183.447	183.470	     NA	     NA	183.910	183.520	183.100
10-31	183.459	183.470	     NA	     NA	183.910	183.520	183.100
11-01	183.448	183.395	     NA	     NA	183.890	183.480	183.010
11-02	183.388	183.395	     NA	     NA	183.890	183.480	183.010
11-03	183.415	183.395	     NA	     NA	183.890	183.480	183.010
11-04	183.425	183.395	     NA	     NA	183.890	183.480	183.010
11-05	183.453	183.395	     NA	     NA	183.890	183.480	183.010
11-06	183.418	183.395	     NA	     NA	183.890	183.480	183.010
11-07	183.445	183.395	     NA	     NA	183.890	183.480	183.010
11-08	183.431	183.395	     NA	     NA	183.890	183.480	183.010
11-09	183.433	183.395	     NA	     NA	183.890	183.480	183.010
11-10	183.415	183.395	     NA	     NA	183.890	183.480	183.010
11-11	183.375	183.395	     NA	     NA	183.890	183.480	183.010
11-12	183.404	183.395	     NA	     NA	183.890	183.480	183.010
11-13	183.403	183.395	     NA	     NA	183.890	183.480	183.010
11-14	183.377	183.395	     NA	     NA	183.890	183.480	183.010
11-15	183.396	183.395	     NA	     NA	183.890	183.480	183.010
11-16	183.412	183.395	     NA	     NA	183.890	183.480	183.010
11-17	183.384	183.395	     NA	     NA	183.890	183.480	183.010
11-18	183.364	183.395	     NA	     NA	183.890	183.480	183.010
11-19	183.344	183.395	     NA	     NA	183.890	183.480	183.010
11-20	183.336	183.395	     NA	     NA	183.890	183.480	183.010
11-21	183.354	183.395	     NA	     NA	183.890	183.480	183.010
11-22	183.333	183.395	     NA	     NA	183.890	183.480	183.010
11-23	183.353	183.395	     NA	     NA	183.890	183.480	183.010
11-24	183.337	183.395	     NA	     NA	183.890	183.480	183.010
11-25	183.367	183.395	     NA	     NA	183.890	183.480	183.010
11-26	183.461	183.395	     NA	     NA	183.890	183.480	183.010
11-27	183.452	183.395	     NA	     NA	183.890	183.480	183.010
11-28	183.393	183.395	     NA	     NA	183.890	183.480	183.010
11-29	183.359	183.395	     NA	     NA	183.890	183.480	183.010
11-30	183.384	183.395	     NA	     NA	183.890	183.480	183.010
12-01	183.334	183.302	     NA	     NA	183.810	183.410	182.920
12-02	183.317	183.302	     NA	     NA	183.810	183.410	182.920
12-03	183.357	183.302	     NA	     NA	183.810	183.410	182.920
12-04	183.327	183.302	     NA	     NA	183.810	183.410	182.920
12-05	183.304	183.302	     NA	     NA	183.810	183.410	182.920
12-06	183.325	183.302	     NA	     NA	183.810	183.410	182.920
12-07	183.329	183.302	     NA	     NA	183.810	183.410	182.920
12-08	183.295	183.302	     NA	     NA	183.810	183.410	182.920
12-09	183.302	183.302	     NA	     NA	183.810	183.410	182.920
12-10	183.351	183.302	     NA	     NA	183.810	183.410	182.920
12-11	183.326	183.302	     NA	     NA	183.810	183.410	182.920
12-12	183.293	183.302	     NA	     NA	183.810	183.410	182.920
12-13	183.313	183.302	     NA	     NA	183.810	183.410	182.920
12-14	183.315	183.302	     NA	     NA	183.810	183.410	182.920
12-15	183.274	183.302	     NA	     NA	183.810	183.410	182.920
12-16	183.240	183.302	     NA	     NA	183.810	183.410	182.920
12-17	183.279	183.302	     NA	     NA	183.810	183.410	182.920
12-18	183.277	183.302	     NA	     NA	183.810	183.410	182.920
12-19	183.332	183.302	     NA	     NA	183.810	183.410	182.920
12-20	183.272	183.302	     NA	     NA	183.810	183.410	182.920
12-21	183.286	183.302	     NA	     NA	183.810	183.410	182.920
12-22	183.271	183.302	     NA	     NA	183.810	183.410	182.920
12-23	183.289	183.302	     NA	     NA	183.810	183.410	182.920
12-24	183.269	183.302	     NA	     NA	183.810	183.410	182.920
12-25	183.275	183.302	     NA	     NA	183.810	183.410	182.920
12-26	183.259	183.302	     NA	     NA	183.810	183.410	182.920
12-27	183.241	183.302	     NA	     NA	183.810	183.410	182.920
12-28	183.297	183.302	     NA	     NA	183.810	183.410	182.920
12-29	183.406	183.302	     NA	     NA	183.810	183.410	182.920
12-30	183.310	183.302	     NA	     NA	183.810	183.410	182.920
12-31	183.306	183.302	     NA	     NA	183.810	183.410	182.920
